,Group,Isolimonene_trans,Pentyl furan_2,Carene_delta-3,Terpinene_alpha,Limonene,"Cineole_1,8",Ocimene_Z-beta,Ocimene_E-beta,Terpinene_gamma,Linalool oxide_cis,Terpinolene,Linalool,Hotrienol,Fenchol_endo,lavandulol,Iso dihydro carveol,Car-3-en-2-one,Linalool acetate,Geranial,Dihydro linalool acetate,Ethyl menthone_2,Elemene_delta,Cubebene_alpha,Calacorene,Longipinene_alpha,Copaene_alpha,Hexenyl hexanoate_3Z,Panasinsene_beta,Jasmone_Z,Gurjunene_alpha,Cedrene_beta,Ionone_E-beta,Muurolene_alpha,Calamenene_trans
SVR1,1,1.70,4.02,1.56,0.53,1.36,2.13,0.38,0.70,2.69,0.93,1.50,9.38,3.87,1.77,0.43,1.28,0.81,0.32,0.33,0.32,0.43,0.50,0.48,1.11,1.09,0.31,0.27,0.29,0.32,0.58,0.29,0.86,0.32,0.42
SVR2,1,1.52,3.12,1.41,0.60,1.40,2.05,0.24,0.70,2.70,0.97,1.52,9.45,3.80,1.81,0.39,1.38,0.65,0.29,0.37,0.28,0.39,0.35,0.54,1.28,0.99,0.24,0.20,0.20,0.29,0.47,0.59,0.75,0.29,0.31
SVR3.1,1,1.60,3.27,1.45,0.50,1.55,2.10,0.35,0.62,2.64,1.04,1.50,9.40,3.90,1.66,0.48,1.33,0.77,0.29,0.36,0.29,0.48,0.49,0.49,1.32,1.07,0.34,0.30,0.30,0.35,0.55,0.50,0.80,0.38,0.43
SVR3.2,1,1.65,3.35,1.52,0.62,1.50,2.07,0.33,0.68,2.69,1.02,1.47,9.48,3.89,1.68,0.42,1.39,0.75,0.22,0.35,0.27,0.44,0.52,0.59,1.38,1.10,0.38,0.33,0.30,0.33,0.52,0.51,0.79,0.33,0.41
BR1,1,1.06,2.94,1.80,0.77,2.60,2.86,0.63,0.94,3.02,1.18,1.37,7.25,4.39,2.01,0.67,0.76,0.77,0.56,0.57,0.56,0.79,0.74,0.56,0.56,0.52,0.56,0.52,0.53,0.56,0.83,0.54,0.72,0.54,0.56
BR2,1,1.04,2.90,1.67,0.70,2.68,2.74,0.68,0.95,3.01,1.17,1.38,7.30,4.35,2.12,0.89,0.77,0.65,0.75,0.76,0.75,0.90,0.89,0.74,0.75,0.68,0.74,0.68,0.70,0.75,0.79,0.71,0.96,0.71,0.75
BR3.1,1,1.03,2.78,2.27,0.71,2.70,2.77,0.79,0.90,3.01,1.15,1.37,7.29,4.54,2.15,0.85,0.76,0.80,0.71,0.72,0.71,0.86,0.94,0.70,0.71,0.65,0.70,0.65,0.67,0.71,0.98,0.68,0.91,0.68,0.71
BR3.2,1,1.05,2.91,2.51,0.75,2.69,2.66,0.76,0.93,3.21,1.16,1.29,7.22,4.53,2.05,0.79,0.73,0.75,0.78,0.80,0.78,0.95,0.95,0.78,0.78,0.72,0.78,0.72,0.74,0.78,0.97,0.75,0.95,0.75,0.78
MK1,1,1.01,1.87,1.75,0.72,1.55,1.81,0.58,0.89,2.97,1.13,1.32,11.51,2.71,1.96,0.62,0.71,0.72,0.51,0.52,0.51,0.63,0.18,0.51,0.51,0.47,0.51,0.47,0.48,0.51,0.27,0.49,0.27,0.49,0.03
MK2,1,1.03,1.91,1.79,0.74,1.59,1.85,0.59,0.91,3.03,1.15,1.35,11.68,2.78,2.01,0.64,0.73,0.73,0.52,0.53,0.52,0.64,0.19,0.52,0.52,0.48,0.52,0.48,0.49,0.52,0.27,0.50,0.27,0.50,0.03
MK3.1,1,1.08,1.99,1.87,0.77,1.65,1.93,0.62,0.95,3.16,1.20,1.40,11.69,2.89,2.09,0.66,0.76,0.76,0.54,0.56,0.54,0.67,0.20,0.54,0.54,0.50,0.54,0.50,0.51,0.54,0.28,0.52,0.28,0.52,0.03
MK3.2,1,1.05,1.95,1.83,0.75,1.62,1.89,0.60,0.93,3.09,1.18,1.37,11.61,2.83,2.04,0.65,0.74,0.75,0.53,0.54,0.53,0.66,0.19,0.53,0.53,0.49,0.53,0.49,0.50,0.53,0.28,0.51,0.28,0.51,0.03
PKML1,2,1.92,0.80,0.12,0.06,1.57,0.23,1.80,1.42,1.70,1.15,1.08,3.36,1.13,0.13,0.11,0.13,1.02,0.53,0.54,0.53,0.65,0.71,0.70,1.66,1.31,0.53,0.48,0.50,0.53,0.80,0.51,1.66,0.54,0.63
PKML2,2,1.94,0.80,0.12,0.06,1.59,0.24,1.81,1.44,1.71,1.16,1.09,3.39,1.14,0.16,0.11,0.13,1.03,0.54,0.55,0.54,0.65,0.72,0.71,1.67,1.32,0.53,0.49,0.50,0.54,0.80,0.51,1.67,0.54,0.64
PKML3.1,2,1.96,0.81,0.12,0.06,1.60,0.24,1.83,1.45,1.73,1.17,1.10,3.43,1.15,0.15,0.11,0.13,1.04,0.54,0.55,0.54,0.66,0.73,0.71,1.69,1.33,0.54,0.49,0.51,0.54,0.81,0.52,1.69,0.55,0.65
PKML3.2,2,1.99,0.83,0.12,0.06,1.63,0.24,1.87,1.48,1.77,1.19,1.12,3.49,1.17,0.18,0.12,0.13,1.06,0.55,0.56,0.55,0.67,0.74,0.73,1.72,1.36,0.55,0.50,0.52,0.55,0.83,0.52,1.72,0.56,0.66
CF1,2,2.00,0.86,0.17,0.11,1.65,0.29,1.88,1.50,1.78,1.22,1.15,3.47,1.20,0.18,0.16,0.18,1.09,0.59,0.60,0.59,0.71,0.78,0.76,1.74,1.03,0.50,0.54,0.56,0.59,0.86,0.06,0.55,0.51,0.69
CF2,2,2.02,0.87,0.17,0.11,1.67,0.26,1.90,1.51,1.80,1.23,1.16,3.51,1.21,0.18,0.16,0.18,1.10,0.59,0.60,0.59,0.72,0.78,0.77,1.76,1.04,0.50,0.55,0.56,0.59,0.87,0.06,0.55,0.52,0.70
CF3.1,2,1.96,0.84,0.16,0.11,1.62,0.34,1.84,1.47,1.74,1.19,1.13,3.40,1.17,0.17,0.16,0.17,1.07,0.58,0.59,0.58,0.69,0.76,0.74,1.70,1.01,0.49,0.53,0.55,0.58,0.84,0.06,0.54,0.50,0.68
CF3.2,2,1.97,0.84,0.16,0.11,1.62,0.32,1.85,1.47,1.75,1.20,1.13,3.41,1.18,0.17,0.16,0.17,1.07,0.58,0.59,0.58,0.70,0.76,0.75,1.71,1.01,0.49,0.53,0.55,0.58,0.84,0.06,0.54,0.50,0.68
OHO1,2,1.56,0.74,0.14,0.09,1.97,0.12,2.20,1.82,2.10,1.55,1.48,3.76,1.45,0.11,0.09,0.35,1.42,0.48,0.44,0.49,0.61,0.56,0.58,1.57,1.04,0.44,0.32,0.45,0.51,0.59,0.05,0.29,0.27,0.52
OHO2,2,1.54,0.73,0.14,0.09,1.95,0.12,2.17,1.80,2.08,1.53,1.47,3.72,1.44,0.11,0.09,0.34,1.40,0.48,0.44,0.48,0.60,0.55,0.58,1.56,1.03,0.44,0.32,0.45,0.50,0.58,0.05,0.29,0.26,0.51
OHO3.1,2,1.62,0.77,0.15,0.10,2.06,0.13,2.29,1.90,2.19,1.62,1.55,3.92,1.52,0.11,0.10,0.36,1.48,0.51,0.46,0.51,0.63,0.58,0.61,1.64,1.09,0.46,0.34,0.47,0.53,0.61,0.05,0.30,0.28,0.54
OHO3.2,2,1.60,0.76,0.15,0.09,2.03,0.13,2.26,1.88,2.16,1.60,1.53,3.87,1.50,0.11,0.09,0.36,1.46,0.50,0.46,0.51,0.63,0.57,0.60,1.62,1.07,0.46,0.33,0.47,0.52,0.60,0.05,0.30,0.27,0.54
DC1,3,0.64,0.32,0.14,0.41,1.71,0.37,0.60,0.65,1.45,1.23,1.16,2.86,0.92,0.56,0.10,0.33,0.88,0.40,0.36,0.41,0.54,0.49,0.55,0.60,0.14,0.37,0.14,0.42,4.23,0.52,0.09,0.18,0.15,0.44
DC2,3,0.51,0.26,0.11,0.33,1.36,0.30,0.48,0.52,1.16,0.98,0.92,2.81,0.73,0.45,0.08,0.26,0.70,0.32,0.28,0.33,0.43,0.39,0.44,0.48,0.11,0.30,0.11,0.34,4.44,0.41,0.07,0.15,0.12,0.35
DC3.1,3,0.57,0.29,0.13,0.36,1.52,0.33,0.54,0.58,1.29,1.09,1.03,2.90,0.82,0.50,0.09,0.29,0.78,0.36,0.32,0.36,0.48,0.43,0.49,0.54,0.13,0.33,0.12,0.38,4.28,0.46,0.08,0.16,0.14,0.39
DC3.2,3,0.58,0.29,0.13,0.37,1.55,0.34,0.55,0.59,1.31,1.12,1.05,2.96,0.83,0.51,0.09,0.30,0.80,0.37,0.32,0.37,0.49,0.44,0.50,0.55,0.13,0.34,0.13,0.39,4.37,0.47,0.08,0.17,0.14,0.40
YW1,3,0.50,0.22,0.06,0.28,1.57,0.28,0.59,0.63,1.45,1.14,1.01,2.60,0.54,0.55,0.11,0.32,0.75,0.33,0.43,0.43,0.38,0.24,0.38,0.62,0.11,0.32,0.14,0.23,5.39,0.42,0.05,0.10,0.08,0.23
YW2,3,0.50,0.22,0.06,0.28,1.57,0.28,0.59,0.63,1.46,1.15,1.01,2.61,0.54,0.55,0.11,0.32,0.75,0.33,0.43,0.43,0.38,0.24,0.38,0.62,0.11,0.32,0.14,0.23,5.19,0.42,0.05,0.10,0.08,0.23
YW3.1,3,0.55,0.25,0.07,0.30,1.73,0.31,0.65,0.70,1.60,1.26,1.11,2.70,0.59,0.61,0.12,0.35,0.83,0.37,0.48,0.48,0.42,0.26,0.42,0.68,0.12,0.35,0.16,0.25,5.39,0.46,0.06,0.11,0.08,0.25
YW3.2,3,0.56,0.25,0.07,0.31,1.75,0.31,0.65,0.71,1.62,1.28,1.12,2.69,0.60,0.61,0.12,0.35,0.84,0.37,0.48,0.48,0.42,0.27,0.42,0.69,0.12,0.35,0.16,0.26,5.45,0.47,0.06,0.11,0.09,0.26
