cicon,dtaga,class,class.no,subclass,molwt,aglycwght,type,subclass.count
70104703,Gomisin M2,Lignans,4,Lignans,386,386,Aglycone,31
70100303,Lariciresinol,Lignans,4,Lignans,360,360,Aglycone,31
70100203,Matairesinol,Lignans,4,Lignans,358,358,Aglycone,31
70104103,Schisandrin,Lignans,4,Lignans,432,432,Aglycone,31
70104903,Schisandrin B,Lignans,4,Lignans,400,400,Aglycone,31
70105103,Schisandrin C,Lignans,4,Lignans,384,384,Aglycone,31
70104303,Schisandrol B,Lignans,4,Lignans,416,416,Aglycone,31
70104503,Schisanhenol,Lignans,4,Lignans,402,402,Aglycone,31
70104603,Schisantherin A,Lignans,4,Lignans,536,536,Aglycone,31
70100103,Secoisolariciresinol,Lignans,4,Lignans,362,362,Aglycone,31
70101603,Sesaminol,Lignans,4,Lignans,370,370,Aglycone,31
70104403,Tigloylgomicin H,Lignans,4,Lignans,500,500,Aglycone,31
70104003,Sesaminol 2-O-triglucoside,Lignans,4,Lignans,777,370,Glycoside,31
10500203,(-)-Epicatechin,Flavonoids,1,Flavanols,290,290,Aglycone,27
10500503,(-)-Epicatechin 3-O-gallate,Flavonoids,1,Flavanols,442,290,Aglycone,27
10500403,(-)-Epigallocatechin,Flavonoids,1,Flavanols,306,306,Aglycone,27
10500603,(-)-Epigallocatechin 3-O-gallate,Flavonoids,1,Flavanols,458,306,Aglycone,27
10500103,(+)-Catechin,Flavonoids,1,Flavanols,290,290,Aglycone,27
10511603,3'-O-Methylcatechin,Flavonoids,1,Flavanols,304,304,Aglycone,27
10511203,3'-O-Methylepicatechin,Flavonoids,1,Flavanols,304,304,Aglycone,27
10511803,"4',4""-O-Dimethylepigallocatechin 3-O-gallate",Flavonoids,1,Flavanols,486,332,Aglycone,27
10512103,4'-O-Methylepicatechin,Flavonoids,1,Flavanols,304,304,Aglycone,27
10511903,4'-O-Methylepigallocatechin,Flavonoids,1,Flavanols,320,320,Aglycone,27
10512003,4''-O-Methylepigallocatechin 3-O-gallate,Flavonoids,1,Flavanols,472,320,Aglycone,27
10503303,Procyanidin dimer B1,Flavonoids,1,Flavanols,578,578,Aglycone,27
10503403,Procyanidin dimer B2,Flavonoids,1,Flavanols,578,578,Aglycone,27
10503503,Procyanidin dimer B3,Flavonoids,1,Flavanols,578,578,Aglycone,27
10503603,Procyanidin dimer B4,Flavonoids,1,Flavanols,578,578,Aglycone,27
10505503,Procyanidin trimer C2,Flavonoids,1,Flavanols,866,866,Aglycone,27
10501203,Theaflavin,Flavonoids,1,Flavanols,564,564,Aglycone,27
10513203,(-)-Epigallocatechin 3'-O-glucuronide,Flavonoids,1,Flavanols,482,306,Glucuronide,27
10512603,(-)-Epigallocatechin 3-O-glucuronide,Flavonoids,1,Flavanols,482,306,Glucuronide,27
10513303,(-)-Epigallocatechin 7-O-glucuronide,Flavonoids,1,Flavanols,482,306,Glucuronide,27
10513003,3'-O-Methyl-(-)-epicatechin 7-O-glucuronide,Flavonoids,1,Flavanols,480,304,Glucuronide,27
10511303,4'-O-Methyl-(-)-epicatechin 3'-O-glucuronide,Flavonoids,1,Flavanols,480,304,Glucuronide,27
10513403,4'-O-Methyl-(-)-epigallocatechin 3'-O-glucuronide,Flavonoids,1,Flavanols,496,320,Glucuronide,27
10513503,4'-O-Methyl-(-)-epigallocatechin 7-O-glucuronide,Flavonoids,1,Flavanols,496,320,Glucuronide,27
10511403,Epicatechin 3'-O-glucuronide,Flavonoids,1,Flavanols,466,290,Glucuronide,27
10513103,Epicatechin 7-O-glucuronide,Flavonoids,1,Flavanols,466,290,Glucuronide,27
10512203,Epigallocatechin 3-O-gallate-7-O-glucoside-4''-O-glucuronide,Flavonoids,1,Flavanols,796,458,Glucuronide,27
30103703,"2,3-Dihydroxybenzoic acid",Phenolic acids,2,Hydroxybenzoic acids,154,154,Aglycone,26
30103803,"2,4-Dihydroxybenzoic acid",Phenolic acids,2,Hydroxybenzoic acids,154,154,Aglycone,26
30103503,2-Hydroxybenzoic acid,Phenolic acids,2,Hydroxybenzoic acids,138,138,Aglycone,26
30112803,2-Hydroxyhippuric acid,Phenolic acids,2,Hydroxybenzoic acids,195,195,Aglycone,26
30109903,"3,4-O-Dimethylgallic acid",Phenolic acids,2,Hydroxybenzoic acids,198,198,Aglycone,26
30107803,"3,5-Dihydroxybenzoic acid",Phenolic acids,2,Hydroxybenzoic acids,154,154,Aglycone,26
30103603,3-Hydroxybenzoic acid,Phenolic acids,2,Hydroxybenzoic acids,138,138,Aglycone,26
30112703,3-Hydroxyhippuric acid,Phenolic acids,2,Hydroxybenzoic acids,195,195,Aglycone,26
30109703,3-O-Methylgallic acid,Phenolic acids,2,Hydroxybenzoic acids,184,184,Aglycone,26
30100903,4-Hydroxybenzoic acid,Phenolic acids,2,Hydroxybenzoic acids,138,138,Aglycone,26
30112603,4-Hydroxyhippuric acid,Phenolic acids,2,Hydroxybenzoic acids,195,195,Aglycone,26
30109803,4-O-Methylgallic acid,Phenolic acids,2,Hydroxybenzoic acids,184,184,Aglycone,26
30103403,Benzoic acid,Phenolic acids,2,Hydroxybenzoic acids,122,122,Aglycone,26
30100803,Ellagic acid,Phenolic acids,2,Hydroxybenzoic acids,302,302,Aglycone,26
30112003,Gallagic acid,Phenolic acids,2,Hydroxybenzoic acids,602,602,Aglycone,26
30100303,Gallic acid,Phenolic acids,2,Hydroxybenzoic acids,170,170,Aglycone,26
30108503,Gallic acid ethyl ester,Phenolic acids,2,Hydroxybenzoic acids,198,170,Aglycone,26
30100703,Gentisic acid,Phenolic acids,2,Hydroxybenzoic acids,154,154,Aglycone,26
30112903,Hippuric acid,Phenolic acids,2,Hydroxybenzoic acids,179,179,Aglycone,26
30100203,Protocatechuic acid,Phenolic acids,2,Hydroxybenzoic acids,154,154,Aglycone,26
30112503,Punicalin,Phenolic acids,2,Hydroxybenzoic acids,782,782,Aglycone,26
30102003,Syringic acid,Phenolic acids,2,Hydroxybenzoic acids,198,198,Aglycone,26
30100403,Vanillic acid,Phenolic acids,2,Hydroxybenzoic acids,168,168,Aglycone,26
30113003,Paeoniflorin,Phenolic acids,2,Hydroxybenzoic acids,480,,Glycoside,26
30111903,Punicalagin,Phenolic acids,2,Hydroxybenzoic acids,1084,302,Glycoside,26
90809203,Vanillic acid 4-sulfate,Phenolic acids,2,Hydroxybenzoic acids,248,168,Sulfate,26
30506503,"3-(3,4-Dihydroxyphenyl)-2-methoxypropionic acid",Phenolic acids,2,Hydroxyphenylpropanoic acids,212,212,Aglycone,19
30508103,"3,4-Dihydroxyphenyllactic acid methyl ester",Phenolic acids,2,Hydroxyphenylpropanoic acids,212,212,Aglycone,19
30506403,3-Hydroxy-3-(3-hydroxyphenyl)propionic acid,Phenolic acids,2,Hydroxyphenylpropanoic acids,182,182,Aglycone,19
30508403,3-Hydroxy-4-methoxyphenyllactic acid,Phenolic acids,2,Hydroxyphenylpropanoic acids,212,212,Aglycone,19
30506603,3-Hydroxyphenylpropionic acid,Phenolic acids,2,Hydroxyphenylpropanoic acids,166,166,Aglycone,19
30507903,3-Methoxy-4-hydroxyphenyllactic acid,Phenolic acids,2,Hydroxyphenylpropanoic acids,212,212,Aglycone,19
30508303,3-Phenylpropionic acid,Phenolic acids,2,Hydroxyphenylpropanoic acids,150,150,Aglycone,19
30508603,4-Hydroxyphenyl-2-propionic acid,Phenolic acids,2,Hydroxyphenylpropanoic acids,166,166,Aglycone,19
30507703,Danshensu,Phenolic acids,2,Hydroxyphenylpropanoic acids,198,198,Aglycone,19
30506303,Dihydrocaffeic acid,Phenolic acids,2,Hydroxyphenylpropanoic acids,182,182,Aglycone,19
30507203,Dihydroferulic acid,Phenolic acids,2,Hydroxyphenylpropanoic acids,196,196,Aglycone,19
30507603,Dihydroferuloylglycine,Phenolic acids,2,Hydroxyphenylpropanoic acids,253,253,Aglycone,19
30506003,Dihydro-p-coumaric acid,Phenolic acids,2,Hydroxyphenylpropanoic acids,166,166,Aglycone,19
30507403,Dihydrosinapic acid,Phenolic acids,2,Hydroxyphenylpropanoic acids,240,240,Aglycone,19
30508203,Hydroxydanshensu,Phenolic acids,2,Hydroxyphenylpropanoic acids,214,214,Aglycone,19
30507003,Dihydrocaffeic acid 3-O-glucuronide,Phenolic acids,2,Hydroxyphenylpropanoic acids,358,182,Glucuronide,19
30507303,Dihydroferulic acid 4-O-glucuronide,Phenolic acids,2,Hydroxyphenylpropanoic acids,372,196,Glucuronide,19
30507103,Dihydrocaffeic acid 3-sulfate,Phenolic acids,2,Hydroxyphenylpropanoic acids,262,182,Sulfate,19
30506703,Dihydroferulic acid 4-sulfate,Phenolic acids,2,Hydroxyphenylpropanoic acids,276,196,Sulfate,19
60101903,"3,4,5,4'-Tetramethoxystilbene",Stilbenes,3,Stilbenes,300,300,Aglycone,18
60102003,"3'-Hydroxy-3,4,5,4'-tetramethoxystilbene",Stilbenes,3,Stilbenes,316,316,Aglycone,18
60102303,"4'-Hydroxy-3,4,5-trimethoxystilbene",Stilbenes,3,Stilbenes,286,286,Aglycone,18
60102403,"4-Hydroxy-3,5,4'-trimethoxystilbene",Stilbenes,3,Stilbenes,286,286,Aglycone,18
60103803,Dihydroresveratrol,Stilbenes,3,Stilbenes,230,230,Aglycone,18
60101703,Resveratrol,Stilbenes,3,Stilbenes,228,228,Aglycone,18
60100103,Trans-Resveratrol,Stilbenes,3,Stilbenes,228,228,Aglycone,18
60102503,cis-Resveratrol 3-O-glucuronide,Stilbenes,3,Stilbenes,404,228,Glucuronide,18
60102703,cis-Resveratrol 4'-O-glucuronide,Stilbenes,3,Stilbenes,404,228,Glucuronide,18
60103403,trans-Resveratrol 3-O-glucuronide,Stilbenes,3,Stilbenes,404,228,Glucuronide,18
60103603,trans-Resveratrol 4'-O-glucuronide,Stilbenes,3,Stilbenes,404,228,Glucuronide,18
60102603,cis-Resveratrol 3-sulfate,Stilbenes,3,Stilbenes,308,228,Sulfate,18
60102803,cis-Resveratrol 4'-sulfate,Stilbenes,3,Stilbenes,308,228,Sulfate,18
60103003,Resveratrol 3-sulfate,Stilbenes,3,Stilbenes,308,228,Sulfate,18
60103303,"trans-Resveratrol 3,4'-disulfate",Stilbenes,3,Stilbenes,388,228,Sulfate,18
60103203,"trans-Resveratrol 3,5-disulfate",Stilbenes,3,Stilbenes,388,228,Sulfate,18
60103503,trans-Resveratrol 3-sulfate,Stilbenes,3,Stilbenes,308,228,Sulfate,18
60103703,trans-Resveratrol 4'-sulfate,Stilbenes,3,Stilbenes,308,228,Sulfate,18
10600203,Eriodictyol,Flavonoids,1,Flavanones,288,288,Aglycone,16
10600303,Hesperetin,Flavonoids,1,Flavanones,302,302,Aglycone,16
10603403,Homoeriodictyol,Flavonoids,1,Flavanones,302,302,Aglycone,16
10602103,Isosakuranetin,Flavonoids,1,Flavanones,286,286,Aglycone,16
10600103,Naringenin,Flavonoids,1,Flavanones,272,272,Aglycone,16
10600803,Hesperidin,Flavonoids,1,Flavanones,611,302,Glycoside,16
10600903,Naringin,Flavonoids,1,Flavanones,581,272,Glycoside,16
10601203,Neohesperidin,Flavonoids,1,Flavanones,611,302,Glycoside,16
10603803,"Hesperetin 3',7-O-diglucuronide",Flavonoids,1,Flavanones,648,302,Glucuronide,16
10603003,Hesperetin 3'-O-glucuronide,Flavonoids,1,Flavanones,478,302,Glucuronide,16
10603903,"Hesperetin 5,7-O-diglucuronide",Flavonoids,1,Flavanones,648,302,Glucuronide,16
10603103,Hesperetin 7-O-glucuronide,Flavonoids,1,Flavanones,478,302,Glucuronide,16
10603503,Naringenin 4'-O-glucuronide,Flavonoids,1,Flavanones,448,272,Glucuronide,16
10603603,Naringenin 5-O-glucuronide,Flavonoids,1,Flavanones,448,272,Glucuronide,16
10603703,Naringenin 7-O-glucuronide,Flavonoids,1,Flavanones,448,272,Glucuronide,16
10603203,Hesperetin 3'-sulfate,Flavonoids,1,Flavanones,382,302,Sulfate,16
10803403,Isorhamnetin,Flavonoids,1,Flavonols,316,316,Aglycone,13
10800103,Kaempferol,Flavonoids,1,Flavonols,286,286,Aglycone,13
10800203,Quercetin,Flavonoids,1,Flavonols,302,302,Aglycone,13
10804503,Isorhamnetin 3-O-glucoside,Flavonoids,1,Flavonols,478,316,Glycoside,13
10801903,"Quercetin 3,4'-O-diglucoside",Flavonoids,1,Flavonols,626,302,Glycoside,13
10800403,Quercetin 3-O-glucoside,Flavonoids,1,Flavonols,464,302,Glycoside,13
10800703,Quercetin 3-O-rutinoside,Flavonoids,1,Flavonols,611,302,Glycoside,13
10806203,Isorhamnetin 3-O-glucuronide,Flavonoids,1,Flavonols,492,316,Glucuronide,13
10813503,Isorhamnetin 4'-O-glucuronide,Flavonoids,1,Flavonols,492,316,Glucuronide,13
10813203,Quercetin 3'-O-glucuronide,Flavonoids,1,Flavonols,478,302,Glucuronide,13
10806103,Quercetin 3-O-glucuronide,Flavonoids,1,Flavonols,478,302,Glucuronide,13
10813403,Quercetin 4'-O-glucuronide,Flavonoids,1,Flavonols,478,302,Glucuronide,13
10813303,Quercetin 3'-sulfate,Flavonoids,1,Flavonols,382,302,Sulfate,13
30306803,2-Hydroxy-2-phenylacetic acid,Phenolic acids,2,Hydroxyphenylacetic acids,152,152,Aglycone,11
30306103,2-Hydroxyphenylacetic acid,Phenolic acids,2,Hydroxyphenylacetic acids,152,152,Aglycone,11
30304803,"3,4-Dihydroxyphenylacetic acid",Phenolic acids,2,Hydroxyphenylacetic acids,168,168,Aglycone,11
30306003,3-Hydroxyphenylacetic acid,Phenolic acids,2,Hydroxyphenylacetic acids,152,152,Aglycone,11
30306703,4-Hydroxymandelic acid,Phenolic acids,2,Hydroxyphenylacetic acids,168,168,Aglycone,11
30305003,4-Hydroxyphenylacetic acid,Phenolic acids,2,Hydroxyphenylacetic acids,152,152,Aglycone,11
30305203,Homovanillic acid,Phenolic acids,2,Hydroxyphenylacetic acids,182,182,Aglycone,11
30305903,Methoxyphenylacetic acid,Phenolic acids,2,Hydroxyphenylacetic acids,166,166,Aglycone,11
30306503,Phenacetylglycine,Phenolic acids,2,Hydroxyphenylacetic acids,193,193,Aglycone,11
30306603,Phenylacetic acid,Phenolic acids,2,Hydroxyphenylacetic acids,152,152,Aglycone,11
90809003,Homovanillic acid 4-sulfate,Other polyphenols,5,Hydroxyphenylacetic acids,262,262,Sulfate,11
30601003,3-Hydroxyphenylvaleric acid,Phenolic acids,2,Hydroxyphenylpentanoic acids,194,194,Aglycone,8
30600303,"4-Hydroxy-(3',4'-dihydroxyphenyl)valeric acid",Phenolic acids,2,Hydroxyphenylpentanoic acids,226,226,Aglycone,8
30600703,"5-(3',4',5'-trihydroxyphenyl)-?-valerolactone",Phenolic acids,2,Hydroxyphenylpentanoic acids,224,224,Aglycone,8
30600503,"5-(3',4',-dihydroxyphenyl)-?-valerolactone",Phenolic acids,2,Hydroxyphenylpentanoic acids,208,208,Aglycone,8
30600403,"5-(3',4'-dihydroxyphenyl)-valeric acid",Phenolic acids,2,Hydroxyphenylpentanoic acids,210,210,Aglycone,8
30600803,"5-(3',5'-dihydroxyphenyl)-?-valerolactone",Phenolic acids,2,Hydroxyphenylpentanoic acids,208,208,Aglycone,8
30600103,5-(3'-Methoxy-4'-hydroxyphenyl)-?-valerolactone,Phenolic acids,2,Hydroxyphenylpentanoic acids,222,222,Aglycone,8
30601103,"5-(3',5'-dihydroxyphenyl)-?-valerolactone 3-O-glucuronide",Phenolic acids,2,Hydroxyphenylpentanoic acids,384,208,Glucuronide,8
90160103,Catechol,Other polyphenols,5,Other polyphenols,110,110,Aglycone,8
90167403,"Isopropyl 3-(3,4-dihydroxyphenyl)-2-hydroxypropanoate",Other polyphenols,5,Other polyphenols,240,240,Aglycone,8
90166803,Lithospermic acid,Other polyphenols,5,Other polyphenols,538,538,Aglycone,8
90160203,Pyrogallol,Other polyphenols,5,Other polyphenols,126,126,Aglycone,8
90167003,Salvianolic acid B,Other polyphenols,5,Other polyphenols,716,716,Aglycone,8
90167103,Salvianolic acid C,Other polyphenols,5,Other polyphenols,716,716,Aglycone,8
90167203,Salvianolic acid D,Other polyphenols,5,Other polyphenols,716,716,Aglycone,8
90167303,Salvianolic acid G,Other polyphenols,5,Other polyphenols,716,716,Aglycone,8
90182403,"3,4-DHPEA-EDA",Other polyphenols,5,Tyrosols,320,154,Aglycone,6
90180203,Hydroxytyrosol,Other polyphenols,5,Tyrosols,154,154,Aglycone,6
90181003,Oleuropein,Other polyphenols,5,Tyrosols,540,138,Aglycone,6
90183103,p-HPEA-EDA,Other polyphenols,5,Tyrosols,304,138,Aglycone,6
90180103,Tyrosol,Other polyphenols,5,Tyrosols,138,138,Aglycone,6
90183703,Tyrosol 4-sulfate,Other polyphenols,5,Tyrosols,218,138,Sulfate,6
90908603,Norathyriol,Other polyphenols,5,Hydroxybenzoketones,260,260,Aglycone,5
90908203,Paeonol,Other polyphenols,5,Hydroxybenzoketones,166,166,Aglycone,5
90908503,Resacetophenone,Other polyphenols,5,Hydroxybenzoketones,152,152,Aglycone,5
90908303,"2,4-Dihydroxyacetophenone 5-sulfate",Other polyphenols,5,Hydroxybenzoketones,216,136,Sulfate,5
90908403,2-Hydroxy-4-methoxyacetophenone 5-sulfate,Other polyphenols,5,Hydroxybenzoketones,230,150,Sulfate,5
90112003,Urolithin A,Other polyphenols,5,Hydroxycoumarins,228,228,Aglycone,5
90112103,Urolithin B,Other polyphenols,5,Hydroxycoumarins,212,212,Aglycone,5
90112303,Urolithin C,Other polyphenols,5,Hydroxycoumarins,244,244,Aglycone,5
90111803,"Urolithin A 3,8-O-diglucuronide",Other polyphenols,5,Hydroxycoumarins,580,228,Glucuronide,5
90112203,Urolithin B 3-O-glucuronide,Other polyphenols,5,Hydroxycoumarins,388,212,Glucuronide,5
100100203,"1,3,5-Trimethoxybenzene",Non-phenolic metabolites,8,Non-phenolic metabolites,168,168,Aglycone,4
100010003,4-Ethylbenzoic acid,Non-phenolic metabolites,8,Non-phenolic metabolites,150,150,Aglycone,4
100100103,Glycine,Non-phenolic metabolites,8,Non-phenolic metabolites,75,75,Aglycone,4
100100803,Vanilloylglycine,Non-phenolic metabolites,8,Non-phenolic metabolites,225,225,Aglycone,4
90801303,Protocatechuic aldehyde,Other polyphenols,5,Hydroxybenzaldehydes,138,138,Aglycone,3
90801403,Vanillin,Other polyphenols,5,Hydroxybenzaldehydes,152,152,Aglycone,3
90809103,Vanillin 4-sulfate,Other polyphenols,5,Hydroxybenzaldehydes,232,152,Sulfate,3
10300103,Phloretin,Flavonoids,1,Dihydrochalcones,274,274,Aglycone,2
10301403,Phloretin 2'-O-glucuronide,Flavonoids,1,Dihydrochalcones,450,274,Glucuronide,2
90203003,4-Ethylphenol,Other polyphenols,5,Alkylphenols,122,122,Aglycone,1
10200303,Butein,Flavonoids,1,Chalcones,272,272,Aglycone,1
10900603,Coumestrol,Other polyphenols,5,Coumestans,268,268,Aglycone,1
10400203,Dihydroquercetin,Flavonoids,1,Dihydroflavonols,304,304,Aglycone,1
90120103,Homovanillyl alcohol,Other polyphenols,5,Hydroxyphenylalcohols,168,168,Aglycone,1
